,分類,施設名,入所年齢,０歳,１歳,２歳,３歳,４歳,５歳,color,種別,所在地,電話番号,設置主体,利用定員,一時預かり,緯度,経度
0,公立保育所・認定こども園,鳥生保育所,生後90日,×,×,×,△,×,×,red,保育所,今治市北鳥生町3丁目1-15,0898-22-3749,今治市,120,,34.054302,133.007296
1,公立保育所・認定こども園,常盤保育所,生後90日,×,×,×,×,×,×,black,保育所,今治市南日吉町2丁目2-8,0898-31-5058,今治市,150,,34.057515,132.993141
2,公立保育所・認定こども園,城東保育所,生後90日,×,×,×,×,×,×,black,保育所,今治市美須賀町4丁目1-48,0898-22-3451,今治市,150,○,34.059432,133.011638
3,公立保育所・認定こども園,乃万保育所,生後90日,×,×,△,×,×,△,red,保育所,今治市延喜甲365-2,0898-22-6289,今治市,100,○,34.063498,132.957147
4,公立保育所・認定こども園,日高保育所,生後57日,×,×,×,×,×,×,black,保育所,今治市別名549-1,0898-23-1512,今治市,120,,34.046119,132.975335
5,公立保育所・認定こども園,富田保育所,生後57日,×,×,×,×,×,×,black,保育所,今治市上徳乙287-7,0898-48-2323,今治市,130,,34.032707,133.012564
6,公立保育所・認定こども園,桜井保育所,生後90日,×,×,×,×,△,×,red,保育所,今治市登畑甲40,0898-48-0555,今治市,100,,34.022279,133.021928
7,公立保育所・認定こども園,日の出保育所,生後6か月,×,×,×,×,△,△,red,保育所,今治市玉川町小鴨部甲230-2,0898-55-3032,今治市,45,,34.026563,132.964389
8,公立保育所・認定こども園,九和保育所,生後6か月,△,△,×,○,△,△,orange,保育所,今治市玉川町大野甲86-3,0898-55-3132,今治市,90,,34.021154,132.944133
9,公立保育所・認定こども園,樋口保育所,生後6か月,×,×,×,×,×,×,black,保育所,今治市波方町養老甲1024,0898-41-7241,今治市,90,,34.101247,132.947425
10,公立保育所・認定こども園,亀岡保育所,生後6か月,×,×,×,△,○,○,orange,保育所,今治市菊間町佐方490,0898-54-5022,今治市,60,,34.05471,132.874939
11,公立保育所・認定こども園,菊間保育所,生後6か月,×,×,×,×,△,△,red,保育所,今治市菊間町長坂1999,0898-54-2209,今治市,120,○,34.032671,132.845044
12,公立保育所・認定こども園,吉海認定こども園,生後6か月,×,×,×,×,△,×,red,幼保連携型認定こども園・公立,今治市吉海町八幡56,0897-84-2108,今治市,12/78,○,34.146934,133.045082
